# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
phlogopite ,phl,-5837110,-6219160,3080,328,14.964,770.3,-0.036939,-2328900,-6531.6,,,,0.0000579,513000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,phlogopite ,-5837420,-6219440,0,280
Al-free chlorite ,afchl,-8067598,-8727380,2340,428,21.66,1146.6,0.011225,-7855900,-9328.8,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Al-free chlorite ,-8078470,-8744200,0,16820
amesite ,ames,-8366184,-9034440,2020,410,20.52,1177,0.009041,-7458700,-10053,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,amesite ,-8378380,-9052530,0,18090
clinochlore ,clin,-8251820,-8912410,1850,430.5,21.09,1161.8,0.010133,-7657300,-9690.9,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,clinochlore ,-8263350,-8929860,0,17450
daphnite ,daph,-6522411,-7134850,3330,565,21.34,1237.4,0.013594,-3743000,-11250,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,daphnite ,-6535560,-7153990,0,19140
FeCsudoite ,fsud,-7268247,-7903900,2310,462,20.4,1466.3,-0.047365,-1182800,-14388,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Fe�Csudoite ,-7275660,-7912770,0,8870
MnCchlorite ,mnchl,-7055984,-7666530,8810,595,22.59,1227.8,-0.02699,-6299800,-10469.4,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Mn�Cchlorite ,-7065500,-7680490,0,13960
sudoite ,sud,-7969994,-8626160,1860,404,20.3,1436.1,-0.048749,-2748500,-13764,,,,0.0000398,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,sudoite ,-7976770,-8634360,0,8200
antigorite ,atg,-66131830,-71424310,19910,3591,175.48,9621,-0.091183,-35941600,-83034.2,,,,0.000047,525000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,antigorite ,-70622390,-71417980,0,-6330
chrysotile ,chr,-4031316,-4359030,1260,221.3,10.746,624.7,-0.02077,-1721800,-5619.4,,,,0.000047,525000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,chrysotile ,-4030750,-4358460,0,-570
FeCtalc ,fta,-4454985,-4802920,3180,352,14.225,579.7,0.039494,-6459300,-3088.1,,,,0.000037,480000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Fe�Ctalc ,-4451060,-4799030,0,-3890
kaolinite ,kao,-3801544,-4122180,820,203.7,9.934,436.7,-0.034295,-4055900,-2699.1,,,,0.000051,645000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,kaolinite ,-3801720,-4122330,0,150
prehnite ,pre,-5825874,-6203180,1210,292.8,14.026,724.9,-0.013865,-2059000,-6323.9,,,,0.000051,835000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,prehnite ,-5825130,-6203160,0,-20
pyrophyllite ,prl,-5266628,-5640640,1160,239.4,12.81,784.5,-0.042948,1251000,-8495.9,,,,0.000075,525000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,pyrophyllite ,-5266870,-5640850,0,210
talc ,ta,-5516905,-5897100,1600,260,13.625,622.2,0,-6385500,-3916.3,,,,0.000037,480000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,talc ,-5516730,-5896920,0,-180
tschermaks talc ,tats,-5605944,-5987990,1200,259,13.51,549.5,0.036324,-8606600,-2515.3,,,,0.000037,480000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,tschermaks talc ,-5605600,-5987610,0,-380
albite ,ab,-3711908,-3934560,1880,210.1,10.006,452,-0.013364,-1275900,-3953.6,,,,0.0000456,593000,950,16,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,albite ,-3711910,-3934600,0,40
